Show TCP sender's some valuces about RTO:
pkt_seqno      pkt_type                 RorS_seqno     srtt           rto            
1              snd_con_syn              1              0              3000           
2              rcv_con_syn_ack          1              32             204            
3              snd_con_ack              2              0              3000           
4              snd_data                 3              0              3000           
5              snd_data                 4              0              3000           
6              snd_data                 5              0              3000           
7              rcv_ack                  2              32             204            
8              snd_data                 6              32             204            
9              snd_data                 7              32             204            
10             rcv_ack                  3              31             203            
11             snd_data                 8              31             203            
12             snd_data                 9              31             203            
13             rcv_ack                  4              31             203            
14             snd_data                 10             31             203            
15             snd_data                 11             31             203            
16             rcv_ack                  5              36             204            
17             snd_data                 12             36             204            
18             snd_data                 13             36             204            
19             rcv_ack                  6              40             205            
20             snd_data                 14             40             205            
21             snd_data                 15             40             205            
22             rcv_ack                  7              42             205            
23             snd_data                 16             42             205            
24             snd_data                 17             42             205            
25             rcv_ack                  8              44             205            
26             snd_data                 18             44             205            
27             snd_data                 19             44             205            
28             rcv_ack                  9              46             205            
29             snd_data                 20             46             205            
30             snd_data                 21             46             205            
31             rcv_ack                  10             48             206            
32             snd_data                 22             48             206            
33             snd_data                 23             48             206            
34             rcv_ack                  11             45             205            
35             snd_data                 24             45             205            
36             snd_data                 25             45             205            
37             rcv_ack                  12             43             205            
38             snd_data                 26             43             205            
39             snd_data                 27             43             205            
40             rcv_ack                  13             41             205            
41             snd_data                 28             41             205            
42             snd_data                 29             41             205            
43             rcv_ack                  14             39             204            
44             snd_data                 30             39             204            
45             snd_data                 31             39             204            
46             rcv_ack                  15             38             204            
47             snd_data                 32             38             204            
48             snd_data                 33             38             204            
49             rcv_ack                  16             37             204            
50             snd_data                 34             37             204            
51             snd_data                 35             37             204            
52             rcv_ack                  17             36             204            
53             snd_data                 36             36             204            
54             snd_data                 37             36             204            
55             rcv_ack                  18             34             204            
56             snd_data                 38             34             204            
57             snd_data                 39             34             204            
58             rcv_ack                  19             32             204            
59             snd_data                 40             32             204            
60             snd_data                 41             32             204            
61             snd_data                 42             32             204            
62             rcv_ack                  20             30             203            
63             snd_data                 43             30             203            
64             snd_data                 44             30             203            
65             snd_data                 45             30             203            
66             rcv_ack                  21             29             203            
67             snd_data                 46             29             203            
68             snd_data                 47             29             203            
69             snd_data                 48             29             203            
70             rcv_ack                  22             28             203            
71             snd_data                 49             28             203            
72             snd_data                 50             28             203            
73             snd_data                 51             28             203            
74             rcv_ack                  23             28             203            
75             snd_data                 52             28             203            
76             snd_data                 53             28             203            
77             snd_data                 54             28             203            
78             rcv_ack                  24             28             203            
79             snd_data                 55             28             203            
80             snd_data                 56             28             203            
81             snd_data                 57             28             203            
82             rcv_ack                  25             28             203            
83             snd_data                 58             28             203            
84             snd_data                 59             28             203            
85             snd_data                 60             28             203            
86             rcv_ack                  26             28             203            
87             snd_data                 61             28             203            
88             snd_data                 62             28             203            
89             snd_data                 63             28             203            
90             rcv_ack                  27             28             203            
91             snd_data                 64             28             203            
92             snd_data                 65             28             203            
93             snd_data                 66             28             203            
94             rcv_ack                  28             29             203            
95             snd_data                 67             29             203            
96             snd_data                 68             29             203            
97             snd_data                 69             29             203            
98             rcv_ack                  29             30             203            
99             snd_data                 70             30             203            
100            snd_data                 71             30             203            
101            snd_data                 72             30             203            
102            rcv_ack                  30             32             204            
103            snd_data                 73             32             204            
104            snd_data                 74             32             204            
105            snd_data                 75             32             204            
106            rcv_ack                  31             33             204            
107            snd_data                 76             33             204            
108            snd_data                 77             33             204            
109            rcv_ack                  32             32             204            
110            snd_data                 78             32             204            
111            snd_data                 79             32             204            
112            rcv_ack                  33             31             203            
113            snd_data                 80             31             203            
114            snd_data                 81             31             203            
115            rcv_ack                  34             31             203            
116            snd_data                 82             31             203            
117            snd_data                 83             31             203            
118            rcv_ack                  35             31             203            
119            snd_data                 84             31             203            
120            snd_data                 85             31             203            
121            rcv_ack                  36             32             204            
122            snd_data                 86             32             204            
123            snd_data                 87             32             204            
124            rcv_ack                  37             32             204            
125            snd_data                 88             32             204            
126            snd_data                 89             32             204            
127            rcv_ack                  38             32             204            
128            snd_data                 90             32             204            
129            snd_data                 91             32             204            
130            rcv_ack                  39             32             204            
131            snd_data                 92             32             204            
132            snd_data                 93             32             204            
133            rcv_ack                  40             33             204            
134            snd_data                 94             33             204            
135            snd_data                 95             33             204            
136            rcv_ack                  41             34             204            
137            snd_data                 96             34             204            
138            snd_data                 97             34             204            
139            rcv_ack                  42             36             204            
140            snd_data                 98             36             204            
141            snd_data                 99             36             204            
142            rcv_ack                  43             37             204            
143            snd_data                 100            37             204            
144            snd_data                 101            37             204            
145            rcv_ack                  44             38             204            
146            snd_data                 102            38             204            
147            snd_data                 103            38             204            
148            rcv_ack                  45             39             204            
149            snd_data                 104            39             204            
150            snd_data                 105            39             204            
151            rcv_ack                  46             39             204            
152            snd_data                 106            39             204            
153            snd_data                 107            39             204            
154            rcv_ack                  47             39             204            
155            snd_data                 108            39             204            
156            snd_data                 109            39             204            
157            rcv_ack                  48             39             204            
158            snd_data                 110            39             204            
159            rcv_ack                  49             39             204            
160            snd_data                 111            39             204            
161            rcv_ack                  50             39             204            
162            rcv_ack                  51             39             204            
163            rcv_ack                  52             38             204            
164            snd_data                 112            38             204            
165            snd_data                 113            38             204            
166            snd_data                 114            38             204            
167            snd_data                 115            38             204            
168            snd_data                 116            38             204            
169            snd_data                 117            38             204            
170            snd_data                 118            38             204            
171            snd_data                 119            38             204            
172            rcv_ack                  53             38             204            
173            snd_data                 120            38             204            
174            snd_data                 121            38             204            
175            rcv_ack                  54             38             204            
176            snd_data                 122            38             204            
177            snd_data                 123            38             204            
178            rcv_ack                  55             38             204            
179            snd_data                 124            38             204            
180            snd_data                 125            38             204            
181            rcv_ack                  56             37             204            
182            snd_data                 126            37             204            
183            snd_data                 127            37             204            
184            rcv_ack                  57             37             204            
185            snd_data                 128            37             204            
186            snd_data                 129            37             204            
187            rcv_ack                  58             36             204            
188            snd_data                 130            36             204            
189            snd_data                 131            36             204            
190            rcv_ack                  59             35             204            
191            snd_data                 132            35             204            
192            snd_data                 133            35             204            
193            rcv_ack                  60             34             204            
194            snd_data                 134            34             204            
195            snd_data                 135            34             204            
196            rcv_ack                  61             33             204            
197            snd_data                 136            33             204            
198            snd_data                 137            33             204            
199            rcv_ack                  62             33             204            
200            snd_data                 138            33             204            
201            snd_data                 139            33             204            
202            rcv_ack                  63             33             204            
203            snd_data                 140            33             204            
204            snd_data                 141            33             204            
205            rcv_ack                  64             33             204            
206            snd_data                 142            33             204            
207            snd_data                 143            33             204            
208            rcv_ack                  65             32             204            
209            snd_data                 144            32             204            
210            snd_data                 145            32             204            
211            rcv_ack                  66             32             204            
212            snd_data                 146            32             204            
213            snd_data                 147            32             204            
214            rcv_ack                  67             32             204            
215            snd_data                 148            32             204            
216            snd_data                 149            32             204            
217            rcv_ack                  68             32             204            
218            snd_data                 150            32             204            
219            snd_data                 151            32             204            
220            rcv_ack                  69             31             203            
221            snd_data                 152            31             203            
222            snd_data                 153            31             203            
223            rcv_ack                  70             32             204            
224            snd_data                 154            32             204            
225            snd_data                 155            32             204            
226            rcv_ack                  71             32             204            
227            snd_data                 156            32             204            
228            snd_data                 157            32             204            
229            rcv_ack                  72             32             204            
230            snd_data                 158            32             204            
231            snd_data                 159            32             204            
232            rcv_ack                  73             31             203            
233            snd_data                 160            31             203            
234            snd_data                 161            31             203            
235            rcv_ack                  74             31             203            
236            snd_data                 162            31             203            
237            snd_data                 163            31             203            
238            rcv_ack                  75             32             204            
239            snd_data                 164            32             204            
240            snd_data                 165            32             204            
241            rcv_ack                  76             32             204            
242            snd_data                 166            32             204            
243            snd_data                 167            32             204            
244            rcv_ack                  77             32             204            
245            snd_data                 168            32             204            
246            snd_data                 169            32             204            
247            rcv_ack                  78             31             203            
248            snd_data                 170            31             203            
249            snd_data                 171            31             203            
250            rcv_ack                  79             32             204            
251            snd_data                 172            32             204            
252            snd_data                 173            32             204            
253            rcv_ack                  80             32             204            
254            snd_data                 174            32             204            
255            snd_data                 175            32             204            
256            rcv_ack                  81             32             204            
257            snd_data                 176            32             204            
258            snd_data                 177            32             204            
259            rcv_ack                  82             32             204            
260            snd_data                 178            32             204            
261            snd_data                 179            32             204            
262            rcv_ack                  83             32             204            
263            snd_data                 180            32             204            
264            snd_data                 181            32             204            
265            rcv_ack                  84             32             204            
266            snd_data                 182            32             204            
267            snd_data                 183            32             204            
268            rcv_ack                  85             32             204            
269            snd_data                 184            32             204            
270            snd_data                 185            32             204            
271            rcv_ack                  86             31             203            
272            snd_data                 186            31             203            
273            snd_data                 187            31             203            
274            rcv_ack                  87             33             204            
275            snd_data                 188            33             204            
276            snd_data                 189            33             204            
277            rcv_ack                  88             34             204            
278            snd_data                 190            34             204            
279            snd_data                 191            34             204            
280            rcv_ack                  89             35             204            
281            snd_data                 192            35             204            
282            snd_data                 193            35             204            
283            rcv_ack                  90             36             204            
284            snd_data                 194            36             204            
285            snd_data                 195            36             204            
286            rcv_ack                  91             36             204            
287            snd_data                 196            36             204            
288            snd_data                 197            36             204            
289            rcv_ack                  92             37             204            
290            snd_data                 198            37             204            
291            snd_data                 199            37             204            
292            rcv_ack                  93             38             204            
293            snd_data                 200            38             204            
294            snd_data                 201            38             204            
295            rcv_ack                  94             39             204            
296            snd_data                 202            39             204            
297            snd_data                 203            39             204            
298            rcv_ack                  95             39             204            
299            snd_data                 204            39             204            
300            snd_data                 205            39             204            
301            rcv_ack                  96             39             204            
302            snd_data                 206            39             204            
303            snd_data                 207            39             204            
304            rcv_ack                  97             39             204            
305            snd_data                 208            39             204            
306            snd_data                 209            39             204            
307            rcv_ack                  98             38             204            
308            snd_data                 210            38             204            
309            snd_data                 211            38             204            
310            rcv_ack                  99             38             204            
311            snd_data                 212            38             204            
312            snd_data                 213            38             204            
313            rcv_ack                  100            38             204            
314            snd_data                 214            38             204            
315            snd_data                 215            38             204            
316            rcv_ack                  101            38             204            
317            snd_data                 216            38             204            
318            snd_data                 217            38             204            
319            rcv_ack                  102            38             204            
320            snd_data                 218            38             204            
321            snd_data                 219            38             204            
322            rcv_ack                  103            36             204            
323            snd_data                 220            36             204            
324            snd_data                 221            36             204            
325            rcv_ack                  104            35             204            
326            snd_data                 222            35             204            
327            snd_data                 223            35             204            
328            rcv_ack                  105            34             204            
329            snd_data                 224            34             204            
330            snd_data                 225            34             204            
331            rcv_ack                  106            34             204            
332            snd_data                 226            34             204            
333            snd_data                 227            34             204            
334            rcv_ack                  107            34             204            
335            snd_data                 228            34             204            
336            snd_data                 229            34             204            
337            rcv_ack                  108            33             204            
338            snd_data                 230            33             204            
339            snd_data                 231            33             204            
340            rcv_ack                  109            32             204            
341            snd_data                 232            32             204            
342            snd_data                 233            32             204            
343            rcv_ack                  110            31             203            
344            snd_data                 234            31             203            
345            snd_data                 235            31             203            
346            rcv_ack                  111            32             204            
347            snd_data                 236            32             204            
348            snd_data                 237            32             204            
349            rcv_ack                  112            32             204            
350            snd_data                 238            32             204            
351            snd_data                 239            32             204            
352            rcv_ack                  113            32             204            
353            snd_data                 240            32             204            
354            snd_data                 241            32             204            
355            rcv_ack                  114            32             204            
356            snd_data                 242            32             204            
357            snd_data                 243            32             204            
358            rcv_ack                  115            32             204            
359            snd_data                 244            32             204            
360            snd_data                 245            32             204            
361            rcv_ack                  116            32             204            
362            snd_data                 246            32             204            
363            snd_data                 247            32             204            
364            rcv_ack                  117            32             204            
365            snd_data                 248            32             204            
366            snd_data                 249            32             204            
367            rcv_ack                  118            32             204            
368            snd_data                 250            32             204            
369            snd_data                 251            32             204            
370            rcv_ack                  119            33             204            
371            snd_data                 252            33             204            
372            snd_data                 253            33             204            
373            rcv_ack                  120            33             204            
374            snd_data                 254            33             204            
375            snd_data                 255            33             204            
376            rcv_ack                  121            33             204            
377            snd_data                 256            33             204            
378            snd_data                 257            33             204            
379            rcv_ack                  122            32             204            
380            snd_data                 258            32             204            
381            snd_data                 259            32             204            
382            rcv_ack                  123            32             204            
383            snd_data                 260            32             204            
384            snd_data                 261            32             204            
385            rcv_ack                  124            32             204            
386            snd_data                 262            32             204            
387            snd_data                 263            32             204            
388            rcv_ack                  125            33             204            
389            snd_data                 264            33             204            
390            snd_data                 265            33             204            
391            rcv_ack                  126            34             204            
392            snd_data                 266            34             204            
393            snd_data                 267            34             204            
394            rcv_ack                  127            34             204            
395            snd_data                 268            34             204            
396            snd_data                 269            34             204            
397            rcv_ack                  128            34             204            
398            snd_data                 270            34             204            
399            snd_data                 271            34             204            
400            rcv_ack                  129            34             204            
401            snd_data                 272            34             204            
402            snd_data                 273            34             204            
403            rcv_ack                  130            34             204            
404            snd_data                 274            34             204            
405            snd_data                 275            34             204            
406            rcv_ack                  131            34             204            
407            snd_data                 276            34             204            
408            snd_data                 277            34             204            
409            rcv_ack                  132            34             204            
410            snd_data                 278            34             204            
411            snd_data                 279            34             204            
412            rcv_ack                  133            34             204            
413            snd_data                 280            34             204            
414            snd_data                 281            34             204            
415            rcv_ack                  134            34             204            
416            snd_data                 282            34             204            
417            snd_data                 283            34             204            
418            rcv_ack                  135            34             204            
419            snd_data                 284            34             204            
420            snd_data                 285            34             204            
421            rcv_ack                  136            34             204            
422            snd_data                 286            34             204            
423            snd_data                 287            34             204            
424            rcv_ack                  137            34             204            
425            snd_data                 288            34             204            
426            snd_data                 289            34             204            
427            rcv_ack                  138            34             204            
428            snd_data                 290            34             204            
429            snd_data                 291            34             204            
430            rcv_ack                  139            33             204            
431            snd_data                 292            33             204            
432            snd_data                 293            33             204            
433            rcv_ack                  140            33             204            
434            snd_data                 294            33             204            
435            snd_data                 295            33             204            
436            rcv_ack                  141            32             204            
437            snd_data                 296            32             204            
438            snd_data                 297            32             204            
439            rcv_ack                  142            31             203            
440            snd_data                 298            31             203            
441            snd_data                 299            31             203            
442            rcv_ack                  143            31             203            
443            snd_data                 300            31             203            
444            snd_data                 301            31             203            
445            rcv_ack                  144            32             204            
446            snd_data                 302            32             204            
447            snd_data                 303            32             204            
448            rcv_ack                  145            32             204            
449            snd_data                 304            32             204            
450            snd_data                 305            32             204            
451            rcv_ack                  146            32             204            
452            snd_data                 306            32             204            
453            snd_data                 307            32             204            
454            rcv_ack                  147            32             204            
455            snd_data                 308            32             204            
456            snd_data                 309            32             204            
457            rcv_ack                  148            32             204            
458            snd_data                 310            32             204            
459            snd_data                 311            32             204            
460            rcv_ack                  149            32             204            
461            snd_data                 312            32             204            
462            snd_data                 313            32             204            
463            rcv_ack                  150            32             204            
464            snd_data                 314            32             204            
465            snd_data                 315            32             204            
466            rcv_ack                  151            31             203            
467            snd_data                 316            31             203            
468            snd_data                 317            31             203            
469            rcv_ack                  152            32             204            
470            snd_data                 318            32             204            
471            snd_data                 319            32             204            
472            rcv_ack                  153            32             204            
473            snd_data                 320            32             204            
474            snd_data                 321            32             204            
475            rcv_ack                  154            32             204            
476            snd_data                 322            32             204            
477            snd_data                 323            32             204            
478            rcv_ack                  155            32             204            
479            snd_data                 324            32             204            
480            snd_data                 325            32             204            
481            rcv_ack                  156            32             204            
482            snd_data                 326            32             204            
483            snd_data                 327            32             204            
484            rcv_ack                  157            32             204            
485            snd_data                 328            32             204            
486            snd_data                 329            32             204            
487            rcv_ack                  158            32             204            
488            snd_data                 330            32             204            
489            snd_data                 331            32             204            
490            rcv_ack                  159            32             204            
491            snd_data                 332            32             204            
492            snd_data                 333            32             204            
493            rcv_ack                  160            32             204            
494            snd_data                 334            32             204            
